transaction_id,timestamp,customer_id,sender_name,receiver_name,sender_bank,receiver_bank,transaction_type,merchant_category,amount,currency,balance_before,balance_after,country,city,ip_address,device_type,device_id,channel,is_foreign_transaction,is_high_risk_country,failed_login_attempts,transaction_hour,risk_score,label
NORM0010651,2025-05-15 21:52:39,CUS10467,Trần Linh,Bùi Huy,MB Bank,Sacombank,Chuyển khoản,Du lịch,2916443.0,USD,14008442.0,11091999.0,Vietnam,Nha Trang,155.153.122.41,POS,DEV177640,POS,0,0,2,21,23,normal
NORM0002042,2025-03-10 17:46:56,CUS70610,Vũ Minh,Bùi Bình,Agribank,VPBank,Rút tiền ATM,Ăn uống,6225091.0,VND,293836917.0,287611826.0,Vietnam,Đà Nẵng,11.54.241.111,Laptop,DEV738619,POS,0,0,1,17,15,normal
NORM0008669,2025-03-22 13:59:17,CUS62483,Trần Ngọc,Bùi Ngọc,Vietcombank,Sacombank,Mua hàng online,Y tế,501993.0,EUR,424198538.0,423696545.0,Vietnam,Hà Nội,217.116.177.196,Tablet,DEV684007,Mobile Banking,0,0,0,13,1,normal
NORM0001115,2025-02-25 20:26:24,CUS74177,Đặng Minh,Nguyễn Phúc,VPBank,TPBank,Thanh toán hóa đơn,Ăn uống,1068430.0,EUR,424581698.0,423513268.0,Vietnam,Cần Thơ,60.207.68.203,POS,DEV694684,ATM,0,0,0,20,26,normal
NORM0013903,2025-12-29 12:45:13,CUS50330,Nguyễn Minh,Đặng Linh,Sacombank,ACB,Thanh toán POS,Thời trang,2315601.0,VND,200804487.0,198488886.0,Vietnam,Cần Thơ,196.8.163.35,Mobile,DEV432738,Internet Banking,0,0,0,12,21,normal
NORM0011964,2025-01-06 20:51:59,CUS67521,Vũ Phúc,Đặng Phúc,Agribank,Techcombank,Nạp ví điện tử,Du lịch,1989538.0,VND,461077054.0,459087516.0,Vietnam,TP.HCM,106.234.201.19,ATM,DEV955439,ATM,0,0,2,20,16,normal
NORM0011073,2025-09-07 10:23:16,CUS83336,Nguyễn Linh,Trần Dũng,Sacombank,VPBank,Rút tiền ATM,Y tế,4054769.0,EUR,432434896.0,428380127.0,Vietnam,Hải Phòng,192.60.174.170,Laptop,DEV612731,POS,0,0,1,10,24,normal
NORM0003003,2025-01-24 19:06:17,CUS18483,Trần Phúc,Phạm Chi,TPBank,ACB,Chuyển khoản,Ăn uống,10572262.0,USD,34288926.0,23716664.0,Vietnam,Hải Phòng,198.48.251.172,Laptop,DEV940084,Mobile Banking,0,0,1,19,33,normal
SUSP0001772,2025-11-18 04:28:00,CUS87581,Phạm An,Trần Huy,International Bank,VPBank,Chuyển khoản,Thời trang,12658.0,EUR,3077921368.0,3077908710.0,Unknown,Dubai,35.177.213.197,ATM,DEV810823,Internet Banking,1,1,7,4,69,abnormal
NORM0008116,2025-07-15 11:11:44,CUS20793,Lê Chi,Vũ Chi,Agribank,Sacombank,Chuyển khoản,Thời trang,2721305.0,VND,6786714.0,4065409.0,Vietnam,Hà Nội,183.48.36.96,POS,DEV921426,Mobile Banking,0,0,1,11,21,normal
